GENE	Liver_Cancer.Cell.Line_Low_HuH-7_Hepatocellular.Carcinoma: BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_C11_419730	Liver_Cancer.Cell.Line_Low_HuH-7_Hepatocellular.Carcinoma: GSM253206	Liver_Cancer.Cell.Line_Low_PLC-PRF-5_Hepatocellular.Carcinoma: MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A04_454756
DPEP3	51.60	49.58	36.25
EDDM3B	17.22	14.73	16.06
SET	3447.18	3861.65	2822.78
SETMAR	283.15	252.27	110.77
BLM	398.13	548.03	501.60
IRF2BPL	864.61	826.23	1315.50
POPDC3	395.19	282.99	568.26
MMS19	288.21	361.46	369.34
LHX5	29.77	22.96	37.90
DNAJC1	690.21	873.58	639.90
TFB2M	921.92	702.33	1025.63
SEMA4A	63.73	84.31	80.15
PJA1	98.13	110.67	647.26
SFPQ	1588.89	1895.29	1079.99
STRA6	74.66	98.87	102.75
ROBO3	58.55	60.18	129.90
TOR3A	197.24	98.85	346.28
MLST8	284.96	221.89	342.89
HERPUD2	148.41	177.93	158.00
ATL2	73.72	83.03	62.41
SFRP1	27.96	29.97	35.16
MS4A6A	62.89	91.84	69.91
MS4A5	63.81	59.12	63.32
PDLIM2	131.64	94.27	90.44
ADARB2-AS1	42.67	61.86	48.47
SFRP2	26.92	26.21	25.63
ABCG5	157.19	31.29	19.33
ABCG8	81.22	45.57	33.18
MROH6	105.88	129.31	150.31
SFRP4	46.50	55.01	38.87
LOC642533	139.15	153.06	102.05
MIR205HG	19.93	26.71	36.92
SFRP5	38.67	23.75	33.35
LOC642696	19.04	24.94	27.33
SRSF1	1412.07	1256.85	1078.49
RPL3P7	376.24	362.37	308.71
TBC1D22A-AS1	27.72	19.81	21.45
SRSF2	2407.80	1662.80	2102.66
PAPD5	280.04	370.13	217.56
ARHGEF28	160.76	181.84	135.57
RAB17	111.55	63.70	127.90
LOC642852	156.13	264.92	284.33
RHBDF1	98.73	98.31	181.40
SPATA42	13.91	13.94	18.19
ZSCAN31	32.23	31.18	60.64
CHL1-AS2	83.47	123.25	80.27
SRSF3	1775.98	1373.65	1109.74
FAM196A	11.27	11.53	11.96
GRIK1-AS1	21.77	29.11	25.62
SRSF4	763.09	870.56	891.57
BLMH	771.76	543.34	499.94
SMIM5	49.22	60.28	64.33
C11orf97	19.89	13.37	13.48
LOC643072	34.81	32.01	71.40
LOC643085	18.47	16.48	14.33
SRSF5	1473.88	1235.43	828.52
SMIM15	1064.31	1007.94	921.35
CYMP	26.67	22.28	22.36
NOC3L	495.21	625.25	653.34
FBRS	92.12	93.94	141.96
SRSF6	1690.93	1342.12	1127.73
LOC643201	23.25	26.49	33.16
RNF25	161.62	165.95	153.36
SOX17	18.48	20.76	21.44
TUBBP5	104.00	38.97	49.45
NSD1	161.28	237.22	168.21
RFWD2	391.32	428.01	675.07
LMBR1	158.28	129.37	194.35
XPO4	160.25	266.08	187.71
SRSF7	1521.42	961.54	1287.72
KIAA0754	33.47	34.57	33.19
NFKBIZ	749.61	781.01	1244.46
ECRP	31.56	35.53	32.75
C15orf62	32.21	33.60	32.57
ARHGAP9	65.63	78.53	69.68
LINC00452	115.71	132.91	97.27
SFSWAP	135.53	160.80	175.62
HS1BP3	307.75	297.63	710.75
AZI2	144.58	105.08	99.95
LOC643449	12.73	14.50	14.44
HIF3A	39.84	51.21	51.55
TRA2B	1309.86	938.43	719.42
TARDBPP1	21.99	24.21	25.68
LOC643517	64.41	56.19	72.79
NXN	455.34	219.52	1367.48
MOP-1	13.04	12.98	14.26
ZNF862	97.05	169.62	80.10
LOC643659	18.59	19.17	15.91
CASC16	27.67	30.44	23.89
TRAF3IP2-AS1	26.16	25.53	24.74
SIL1	186.31	160.02	350.34
IKZF4	53.85	53.83	66.35
IKZF5	174.41	209.18	127.35
CHST8	104.96	85.20	109.82
USP46-AS1	54.48	98.67	25.10
ZFP62	122.39	166.85	134.57
CBLN3	65.74	89.06	91.06
MMP25	82.76	89.22	106.32
GREM2	20.21	20.98	17.71
CRNDE	377.88	594.82	617.80
LOC643923	63.01	48.07	42.36
ZMAT3	119.60	65.85	82.12
FLJ32255	19.68	26.27	20.55
ZNF106	246.51	302.71	220.92
C1orf233	82.21	93.60	204.31
MPP5	144.51	165.34	164.65
HHIP	20.17	22.02	21.28
SFTPB	56.06	60.96	50.69
CXCR5	39.17	38.93	47.27
AKTIP	247.74	282.62	413.17
NONOP1	698.69	606.09	1352.86
CDH22	66.98	71.62	82.37
RGS18	13.73	17.00	14.30
LOC644090	30.87	32.62	33.98
SDHAF1	381.33	462.50	345.78
WBSCR17	28.45	45.96	34.19
SFTPC	59.73	86.65	88.73
KLHL25	156.77	143.64	107.78
ARAP3	51.72	76.25	55.19
GZF1	188.04	234.95	91.88
PIRT	44.83	54.46	61.17
WIPF3	27.86	30.50	30.18
LOC644151	37.43	44.07	40.17
C5orf28	270.86	433.17	186.92
SYCE3	33.58	27.57	32.86
TMEM168	226.57	206.44	265.36
MTMR14	384.44	382.89	363.35
SFTPD	28.82	28.88	22.49
SUSD1	244.11	147.97	147.04
DCLRE1C	199.58	267.80	248.41
LOC644222	22.83	24.24	32.68
ATG3	1763.35	1404.17	1090.07
INF2	77.72	79.41	75.60
POLR1E	437.70	448.82	536.26
SUDS3	189.36	207.65	225.82
TTC31	180.18	137.13	235.19
LOC644285	14.44	16.31	12.10
NARFL	111.39	101.16	209.44
ZDHHC6	680.05	905.96	450.94
SGCA	24.79	22.20	25.18
PCNXL4	513.81	660.13	151.95
ACTR6	597.30	457.84	371.26
MRPS25	199.04	223.96	95.43
NOM1	225.28	281.05	187.57
ZCCHC18	39.80	30.79	38.24
SGCB	295.37	116.47	108.48
LOC644456	213.92	195.21	191.30
DNAI2	21.98	27.30	25.23
SGCD	42.84	48.80	43.34
SMIM10	62.03	42.45	73.90
TCEB1P3	66.43	87.48	65.60
DNAJC19P9	1819.97	1131.17	638.22
SGCG	25.85	27.74	27.03
RAD21-AS1	24.96	32.23	23.44
SGK1	1007.32	325.68	102.23
LIMD1-AS1	83.94	125.43	104.34
CSMD1	19.39	22.48	47.13
SCG5	35.01	26.65	16.64
C15orf56	16.72	28.18	22.01
PHGR1	97.03	106.77	102.91
LOC644852	17.44	20.20	14.32
MEIG1	34.31	43.37	43.98
SGSH	103.10	78.86	117.74
GCC2-AS1	61.43	51.49	73.44
PIK3CD-AS1	127.93	245.33	187.14
SGTA	304.61	211.06	258.59
BLVRA	284.80	232.76	594.32
CXorf30	25.15	26.58	35.34
SH3BGR	93.22	76.20	93.54
LOC645139	1350.52	1033.34	740.32
LOC645188	19.20	17.79	22.31
TEKT3	20.41	15.91	18.02
LINGO3	109.14	153.02	159.97
SH3BGRL	24.93	8.21	1085.39
MNX1-AS1	27.35	38.61	52.58
SH3BP2	67.15	110.36	73.67
ITSN1	315.30	411.29	375.90
FUT8-AS1	17.34	17.85	17.45
RPL21P68	34.21	38.11	26.03
FLJ44342	128.67	106.89	84.11
LOC645468	25.74	31.65	25.80
LOC645513	106.32	210.08	133.82
SH3GL1	649.28	640.17	520.99
WFDC21P	53.70	82.08	151.33
ASH1L-AS1	169.53	210.68	176.36
SH3GL2	15.01	15.44	14.76
LOC645733	94.55	164.45	70.28
LOC645739	12.51	11.59	12.98
LOC645757	42.61	42.81	50.66
ALDH8A1	110.90	61.24	20.46
NDST4	35.70	37.39	51.54
SH3GL3	54.06	84.94	41.08
CLEC7A	21.06	25.50	25.60
GPR135	20.74	23.76	28.14
SEBOX	64.87	65.29	64.20
RBMY3AP	50.57	71.69	48.17
TTTY15	24.46	23.70	24.12
PABPC1L2B	54.07	40.69	33.44
LOC645984	17.43	18.41	15.90
MOSPD3	228.70	250.00	200.53
GIGYF1	103.69	119.83	101.39
BLVRB	212.35	169.92	1001.40
PLA2G2F	29.29	40.43	44.89
VPS16	318.05	261.67	205.19
SHB	122.79	157.27	288.53
LOC646214	75.57	111.29	74.71
LOC646268	19.19	19.26	21.32
AZGP1P1	89.10	86.69	91.86
SHBG	63.98	63.51	63.73
AC058791.1	43.85	58.49	43.27
TMEM161BP1	25.04	28.77	89.40
TPTE2P1	20.06	22.98	20.64
EBF2	25.52	18.10	25.62
ARIH2OS	31.72	24.60	36.46
HIAT1	826.69	878.14	1042.48
LOC646482	67.89	77.56	60.94
SHC1	343.29	615.71	1056.88
LOC646509	49.31	39.97	91.70
CSRNP1	89.80	144.75	131.03
LOC646522	21.02	25.98	24.34
LOC646548	28.63	28.06	23.13
HHIP-AS1	67.23	72.47	54.89
IGF2BP2-AS1	18.32	15.96	15.82
SYNDIG1L	68.50	62.00	84.34
LOC646778	33.95	49.11	35.57
LAGE3P1	141.34	234.64	234.40
LOC646865	14.12	14.71	13.46
LOC646871	15.60	25.41	23.34
GORASP1	245.54	289.44	286.94
FBXW4	139.28	197.88	357.85
CTAGE1	17.90	20.10	15.86
HRCT1	73.55	68.47	90.62
TMPRSS3	26.34	38.76	34.65
SHH	20.44	17.72	22.19
BNC1	13.38	17.47	13.83
LOC647070	32.05	33.82	35.98
C7orf73	971.99	759.97	783.07
COPS7B	284.17	257.62	233.24
SHMT1	235.31	229.64	163.97
LOC647109	37.08	43.05	48.62
NUCKS1	500.66	661.32	329.31
FLJ36848	133.82	112.24	165.38
HS3ST6	19.78	21.83	15.80
LOC647131	13.96	26.45	23.17
PDIA2	40.88	44.31	55.03
UNKL	120.67	172.65	76.18
CTAGE11P	34.87	25.57	31.50
SHMT2	970.71	1438.85	338.64
GMNC	51.36	36.48	29.88
WDR13	457.52	274.96	503.27
SMAP2	331.53	309.31	315.76
METTL17	1061.29	970.11	772.50
ACBD3	772.13	421.12	326.33
MFSD1	365.70	244.37	727.90
LPPR2	90.98	93.47	131.36
SHOX2	28.39	22.91	37.36
SMURF2	296.46	121.33	508.89
CCDC136	26.31	27.32	34.29
SMYD3	509.63	583.67	366.84
C16orf58	162.06	175.70	177.40
ATPAF1	321.73	380.59	179.42
MARC1	803.25	603.08	139.04
TNS3	815.93	1300.91	963.41
FAM160B2	263.93	231.01	219.29
PARP12	140.86	152.22	227.99
GAREM	87.61	85.67	362.24
ZNF574	157.70	188.22	162.46
CREB3L2	992.90	1157.66	423.20
S100PBP	172.53	254.09	280.43
IPPK	89.06	81.39	68.52
MEAF6	113.91	119.85	93.27
SI	12.58	13.26	13.81
CCDC14	59.76	79.65	50.07
C6orf106	195.61	215.67	245.33
ENGASE	89.76	125.94	141.82
PCED1A	258.32	233.78	203.07
C11orf1	253.88	189.97	232.10
RMND5B	170.12	205.19	149.49
FNDC3B	1070.30	1412.07	1247.57
MTHFSD	66.78	75.78	52.97
SIAH1	191.87	301.16	147.29
MICAL1	124.81	56.85	172.40
CERK	439.80	517.67	237.04
AEN	230.94	240.35	295.97
RBM15	364.46	526.54	245.54
CRTC3	314.04	472.51	466.20
GINS3	193.37	270.48	217.34
TBC1D15	515.53	315.22	267.58
EPS8L2	80.69	32.36	86.41
LMF1	73.65	75.07	49.23
EXO5	67.99	62.47	50.25
SIAH2	326.63	387.00	323.14
IFT22	361.36	295.97	478.74
CEP85	172.78	272.20	181.92
DDX31	185.25	259.36	169.28
RMND5A	159.94	128.36	157.70
DEPTOR	162.93	185.34	143.46
IQCH	26.04	19.57	20.21
EFCAB6	19.37	18.88	18.48
ARV1	284.33	229.99	630.70
NMNAT1	86.98	67.84	51.83
P2RY12	15.86	18.29	16.44
IL25	39.94	60.10	54.24
ST6GAL1	603.33	505.13	61.33
CYP3A43	25.79	42.75	33.81
LOC648245	196.69	186.96	202.31
ST3GAL1	111.31	45.55	63.08
ELOVL1	474.84	639.59	861.67
KLC2	131.12	122.82	106.42
FNDC4	233.36	220.75	273.61
LOC648390	1533.81	1856.80	907.03
FBXL17	28.35	19.85	24.23
ST3GAL2	206.64	144.61	146.55
PORCN	117.76	79.40	158.05
GNPNAT1	610.48	642.43	605.84
ISL2	117.38	163.53	170.33
MARCH7	641.59	989.05	484.08
SPATA20	382.05	266.50	213.81
YTHDC2	117.46	89.28	89.88
SLC13A3	63.22	62.44	62.45
ST3GAL4	46.99	52.58	129.54
ETNPPL	54.44	54.79	73.75
TUT1	57.16	47.23	69.94
USP46	515.35	529.36	125.02
FAM129B	123.25	102.54	110.34
VWA1	80.41	67.14	148.69
PLEKHG2	99.61	142.94	170.88
DCLRE1B	168.13	174.62	160.45
NABP1	207.27	286.70	113.56
ARMCX5	119.88	79.29	257.62
METTL4	237.96	322.85	117.38
RFX7	142.26	122.73	141.17
CDCP1	37.41	40.25	35.06
ST3GAL3	116.36	149.84	91.25
PCDH20	27.88	17.03	14.55
LOC648921	34.05	40.27	32.21
PAPOLG	117.40	107.60	85.62
C12orf43	208.96	169.07	209.18
LOC648987	61.74	94.40	101.44
ST8SIA1	14.03	13.36	19.77
LPIN3	34.67	45.45	70.41
RANBP17	48.05	37.35	123.75
AGXT2	101.28	95.34	37.02
PMEL	85.32	54.80	83.73
BCL11B	24.30	26.81	26.17
STIL	538.35	807.60	327.76
CASD1	231.25	203.69	111.16
LRRC19	15.71	15.63	18.30
SLC30A5	388.97	269.32	366.38
RASAL3	98.85	71.44	94.21
TTC23	118.20	121.24	90.16
MRPL14	1141.25	1371.18	1263.14
SIM1	25.50	25.88	28.21
SIM2	34.26	54.00	38.93
STAG3L4	169.20	278.98	477.22
NT5DC2	361.26	484.25	490.22
DLGAP1-AS1	98.76	72.09	247.09
CENPH	331.44	313.23	263.49
MRPS26	908.66	1254.85	747.74
SIPA1	111.72	88.20	212.13
MRPS24	2640.33	2980.01	4263.43
SIX1	33.85	38.72	51.92
MRPS15	1357.75	1641.05	1349.30
MRPS11	856.73	888.48	896.34
MRPS9	441.26	353.97	406.36
MRPS6	1183.79	1016.72	1802.15
MRPS5	397.50	379.41	397.86
SIX3	26.42	41.02	32.98
MRPL41	1698.68	1488.46	1101.00
MRPL40	1369.94	1172.85	876.62
MRPL38	437.55	453.29	476.69
MRPL36	1127.73	1646.40	1149.03
MRPL34	615.71	436.82	493.98
MRPL32	1637.52	2768.52	1880.76
SKIL	38.11	20.58	21.89
SKIV2L	186.78	242.90	192.26
BMP1	121.90	118.48	114.92
MRPL11	2257.80	2093.21	596.05
MRPL9	763.88	947.77	1027.06
MRPL1	936.67	921.35	829.44
NDRG4	228.63	237.40	148.41
SKP1	4017.55	2683.69	2727.95
SLC26A6	184.52	141.75	152.59
SLC26A10	38.09	51.90	49.44
PINK1	163.21	160.72	291.77
SKP2	395.71	362.14	68.22
SLA	65.35	112.38	58.66
SLAMF1	26.61	26.30	24.59
REEP1	67.37	76.82	40.72
GPBP1	688.02	863.11	558.38
ACD	694.44	458.79	593.09
RAPH1	149.45	173.93	82.16
SLC1A1	122.16	58.71	26.75
CDK15	74.86	113.61	71.95
TMEM237	181.26	165.58	191.87
ABCA17P	35.77	34.53	34.63
C14orf184	11.98	11.25	13.13
GAS6-AS1	19.54	22.75	16.09
SLC1A2	18.46	18.73	18.38
RTN4R	53.88	62.71	96.18
SLC1A3	205.09	284.09	53.12
MRPL44	361.14	330.27	207.27
VPS33A	287.10	217.78	388.72
NOL6	121.58	113.77	163.89
TMEM135	825.77	737.35	859.23
SLC4A3	41.18	57.39	54.30
JMJD4	135.31	129.07	181.26
KRI1	194.82	166.16	147.97
SLC1A4	254.14	280.51	240.60
BMP2	1097.04	4044.65	151.73
MARCKSL1	4263.43	3619.56	2386.86
UPF3B	383.00	406.10	990.97
SLC1A5	302.54	420.98	578.67
UPF3A	187.34	184.41	319.15
RSRC2	732.61	843.82	936.15
SLC1A6	89.02	90.76	87.09
INTS3	473.49	520.59	413.32
SOWAHC	332.98	321.93	363.02
WNK1	608.92	973.81	626.64
SLC1A7	62.11	53.34	49.83
SLC2A1	216.23	173.81	172.74
SLC2A2	41.71	16.73	182.42
SLC2A3	72.91	41.13	1303.16
SLC2A4	28.61	21.21	21.46
SLC2A5	46.90	89.32	52.81
SLC3A1	64.51	38.74	92.15
BMP3	31.49	28.84	30.13
SLC3A2	675.35	776.96	699.99
PCDH15	13.43	15.21	13.86
SLC4A1	18.17	22.48	17.31
NADK	182.91	177.75	242.24
SLC4A2	370.60	638.75	757.66
SLC5A1	32.36	35.07	33.76
ZFP69B	52.97	77.29	65.11
SPATS2	275.35	232.34	235.26
SLC5A2	66.47	98.39	90.26
C5orf42	20.86	20.88	21.35
ZNF649	97.44	95.79	43.42
MPPE1	436.37	702.62	423.47
SMTN	387.00	250.66	168.83
COA7	325.68	345.66	367.63
PYCRL	86.56	117.82	87.06
UBE2Z	531.97	502.89	847.17
C8orf33	319.42	303.99	291.21
WNK4	29.43	24.96	25.70
WNK3	25.46	29.89	69.52
WNK2	60.53	48.63	50.91
SLC5A3	63.46	80.95	79.46
SLC5A4	31.84	30.06	40.31
SLC5A5	157.50	199.23	122.13
GATSL3	40.18	40.65	55.92
LRRC37A5P	18.21	18.85	26.98
SLC6A1	24.57	22.14	24.54
BMP4	274.66	121.47	241.10
SLC6A2	29.17	37.36	39.65
ZBTB8A	109.90	142.84	213.71
FAM228A	40.72	50.08	43.66
SLC6A3	60.16	72.03	72.64
KRTAP4-11	24.35	32.84	33.07
SLC6A4	114.71	81.73	42.68
KIAA0895L	68.49	66.81	111.78
LOC653325	92.23	93.98	72.71
RRN3P2	11.10	16.05	17.22
SLC6A6	74.00	66.74	47.11
MLLT4-AS1	61.44	65.21	40.28
SLC6A7	93.58	74.99	76.67
PHLDB3	87.77	74.14	81.75
SLC6A8	147.11	80.08	125.91
LOC653602	10.54	13.91	10.48
LYPLA2P1	192.50	194.97	163.37
SLC6A9	43.81	78.77	61.41
MZT2A	970.11	967.09	1027.77
ZG16	109.57	53.95	51.90
ACTR3C	116.47	119.37	118.92
SLC6A11	57.07	52.85	42.84
SLC6A12	40.08	55.37	38.70
BMP5	38.30	43.28	42.18
SLC6A13	74.16	95.25	88.25
SLC7A1	149.96	302.19	157.88
SLC7A2	351.82	218.06	145.27
RNPC3P1	122.71	203.64	112.09
LOC654342	466.72	1651.77	86.96
SLC8A2	99.07	72.12	69.44
LRTM2	50.56	22.41	46.37
PAX8-AS1	81.03	88.10	28.60
SNHG20	34.46	27.89	49.02
SLC7A4	36.79	36.71	35.93
SLC8A1	24.72	30.03	29.54
DPH1-OVCA2	507.76	403.35	530.35
PCP4L1	37.23	33.02	33.89
SLC8A3	43.53	47.00	40.43
SLC9A1	253.48	322.11	280.74
SLC9A2	22.27	29.90	38.28
BMP6	44.95	66.84	102.82
SLC9A3	31.37	26.57	36.13
SLC9A5	43.01	43.44	48.34
SLC10A1	39.92	69.45	49.57
SLC10A2	22.19	23.58	18.73
SLC11A1	36.31	43.64	43.29
SLC12A1	12.77	11.27	12.21
SLC12A2	452.98	285.99	1071.79
SLC12A3	48.59	74.20	64.66
BMP7	40.27	31.93	33.42
SLC12A4	121.76	131.43	94.53
SLC13A1	13.01	12.38	13.20
SLC14A1	15.60	15.10	20.69
SLC15A1	29.50	34.98	113.30
SLC15A2	28.25	37.56	24.59
SLC16A1	487.75	391.45	200.95
SLC16A2	35.11	73.94	229.29
SLC17A1	106.03	94.21	60.55
SLC34A1	30.60	25.99	33.68
BMP8B	38.60	57.38	59.74
SLC18A1	24.31	33.96	29.78
SLC18A2	30.41	37.74	25.75
SLC18A3	37.04	30.37	28.22
SLC19A1	78.77	87.04	113.09
SLC20A1	1559.21	1324.65	995.52
SLC20A2	484.08	493.98	215.61
SLC25A1	783.07	631.00	429.70
SLCO2A1	133.54	85.47	56.76
SLCO1A2	22.70	29.70	20.86
BMPR1A	401.57	390.83	364.35
SLC22A1	22.15	19.95	18.73
SLC22A3	72.22	111.88	11.67
SLC22A2	34.56	40.04	35.41
SLC22A4	33.38	34.43	40.44
SLC22A5	90.40	75.25	124.40
SLIT1	23.76	25.81	28.33
SLIT3	25.93	40.13	34.00
SLN	49.91	81.46	42.50
BMPR1B	31.83	30.99	26.08
SLPI	143.46	445.60	270.78
SNAI2	54.90	23.86	21.45
SMARCA1	1072.53	1784.62	635.96
SMARCA2	27.74	18.38	37.64
HLTF	494.49	691.84	564.18
STK33	55.53	40.09	40.89
PLEKHA3	147.04	153.14	361.14
PHACTR4	431.02	266.93	376.37
SMARCA4	613.58	697.04	84.55
BRD9	182.56	313.86	329.99
CAPRIN2	414.78	135.95	248.86
ZSCAN18	151.56	46.32	150.93
GRAMD3	66.46	27.68	72.39
AACS	268.00	219.02	618.06
ZBTB10	110.00	140.25	97.99
KCTD14	115.74	57.00	365.59
ZNF747	127.02	215.96	118.76
DLK2	59.20	110.93	90.52
SMARCB1	656.57	496.14	333.19
FAM173A	203.95	128.05	243.15
DDRGK1	629.34	657.16	558.80
MRPS34	624.22	555.10	555.98
RASL11B	97.60	98.57	64.36
C11orf95	121.19	232.87	153.54
LRRC61	247.42	294.72	273.16
SMARCC1	592.10	630.70	254.69
BMPR2	117.08	79.28	97.73
TMEM108	33.72	52.45	33.54
CYP4F12	161.87	326.54	125.82
LYNX1	75.97	102.66	85.39
CHID1	371.73	316.57	263.93
TRAK2	205.71	272.57	195.66
SMARCC2	182.24	242.06	321.55
SMARCD1	202.87	241.94	222.52
SLC2A11	50.45	35.83	38.44
MTMR9	177.88	141.64	246.83
BOLL	28.53	41.60	32.26
SMARCD2	266.08	235.13	255.98
SMARCD3	399.65	261.45	146.19
SMARCE1	1024.92	829.90	1150.78
SMO	155.75	169.15	92.44
SMPD1	91.23	56.27	119.51
BMX	25.58	34.74	28.29
SMPD2	113.87	101.42	179.25
SUMO3	1738.47	1500.26	1065.05
SIGLEC1	49.70	54.57	54.68
SNAI1	191.83	142.91	148.80
SNAP25	296.30	151.48	529.73
SNAPC1	154.14	86.31	103.04
SNAPC2	100.24	97.34	107.68
SNAPC3	233.67	162.90	159.48
POLR3D	232.39	182.10	169.33
SNCB	75.34	74.36	84.29
SNAPC4	177.63	213.65	85.99
SNCA	62.44	71.88	370.13
SNCG	72.48	98.33	97.69
FSCN1	207.53	102.59	107.90
SNRNP70	703.98	567.31	657.75
SNRPA	1185.68	1269.46	1117.07
SNRPB	6473.36	6112.30	2792.42
SNRPB2	4475.09	3353.61	3015.33
BNIP1	171.14	221.09	130.34
SNRPC	1472.45	1468.27	1212.86
SNRPD1	1251.72	1350.52	631.00
SNRPD2	6304.65	4733.20	6149.27
SNRPD3	3899.57	2211.03	2295.03
SNRPE	90.70	61.61	77.38
SNRPF	2885.89	2362.34	2350.09
BNIP2	195.36	200.09	277.07
SNTA1	131.86	161.87	172.65
SNTB1	327.10	383.00	76.85
SNX1	350.05	336.93	333.68
SNX2	801.13	456.92	520.59
SNTB2	208.64	150.68	142.87
SOAT1	566.41	566.64	848.58
SOD1	4294.58	3174.91	10638.45
SOD2	287.02	221.61	493.60
SOD3	78.90	131.90	127.69
BNIP3	2096.40	2140.45	1348.09
CAPN15	90.86	68.33	61.86
SON	636.23	605.34	859.71
SORL1	337.84	397.22	109.54
SOS1	93.33	94.36	383.85
SOS2	96.59	79.11	105.32
SOX1	21.23	19.66	21.94
SOX2	31.82	28.42	60.66
SOX3	24.09	22.81	23.69
SOX4	850.46	983.92	598.54
BNIP3L	1097.80	337.44	395.08
SOX5	41.65	38.65	20.27
SOX9	659.53	981.40	172.02
SOX10	74.96	67.82	80.33
SOX11	19.56	22.03	19.64
SOX15	44.35	54.53	46.41
SOX12	87.87	102.84	71.13
SP1	94.07	107.18	85.86
SP2	279.13	305.64	440.23
BOK	214.26	262.85	163.25
SP3	85.63	75.45	81.57
SP4	81.78	96.52	66.60
SP100	75.96	58.13	84.62
SPAG1	85.52	52.31	241.30
UAP1	951.92	718.38	745.11
SPAG4	120.39	70.36	113.19
SPAM1	37.12	46.80	32.59
SPARC	292.02	20.65	46.86
DST	112.64	111.55	132.40
SPAST	86.69	57.31	135.85
SPG7	211.06	150.72	156.43
SPI1	28.70	22.24	30.70
SPIB	49.46	69.01	58.89
FOXL2	19.82	16.44	19.37
SPINK1	3104.19	200.24	18.09
SPINK2	41.09	67.47	43.17
SPINT1	85.26	52.07	38.85
SPN	30.20	23.98	28.41
SPP2	57.57	57.60	41.65
SPOCK1	41.10	44.54	64.74
SPP1	516.71	30.14	90.90
SPR	590.42	441.42	795.60
SPRR1A	25.44	37.23	27.96
SPRR1B	28.15	39.16	32.32
BPGM	181.17	127.90	170.00
SPRR2A	73.47	84.20	76.05
SPRR2C	18.60	16.13	18.59
SPRR2G	70.89	70.21	71.77
SPRR3	48.91	77.96	41.25
SPTA1	36.65	30.69	36.10
SPTAN1	768.55	1526.06	483.01
BPHL	188.13	188.13	139.44
SPTB	76.64	60.72	95.70
SPTBN1	286.07	296.87	153.14
SPTBN2	95.62	137.49	46.70
SQLE	1142.12	1507.77	688.92
SRC	65.39	71.71	73.58
SRD5A1	169.50	209.24	170.12
SRD5A2	44.61	43.63	53.19
SRI	610.99	378.93	550.58
AKR1D1	372.76	556.18	15.30
BPI	22.26	26.62	22.45
SREBF1	248.07	247.09	248.60
SREBF2	224.88	220.69	180.89
SRF	81.89	102.32	107.53
SRM	1476.74	1648.23	2786.43
SRMS	19.64	20.10	25.24
SRP9	6002.30	6344.98	5897.14
SRP14	8453.89	6747.79	7391.24
SRP19	1972.62	1730.29	1668.46
SRP54	936.15	661.91	885.90
BRCA1	210.36	208.76	314.58
SRP68	994.21	1009.97	1368.71
SRP72	561.25	424.05	539.99
SRPK1	512.67	606.85	360.91
SRPK2	316.14	370.83	465.88
SRPR	802.86	908.66	1169.28
SRY	30.26	33.30	31.08
TRIM21	122.28	164.57	147.57
TROVE2	446.22	482.34	672.27
BRAF	204.72	289.52	274.30
SSB	2268.62	1356.43	1541.69
SSBP1	2554.46	3248.82	2584.02
SSFA2	157.93	97.55	250.85
SSR1	680.99	696.41	944.30
SSR2	2792.42	3937.87	3223.70
SSR3	601.82	352.80	432.87
SSR4	1650.06	2013.93	4655.76
SSRP1	634.60	835.44	974.49
SST	29.58	40.59	21.77
SSTR1	31.14	17.14	19.20
SSTR2	77.29	40.70	31.58
SSTR3	64.36	83.96	79.63
SSTR4	36.54	31.20	38.10
SSTR5	23.67	25.76	36.29
SSX1	14.50	10.89	13.87
SSX5	28.89	29.96	56.12
BRCA2	57.24	95.51	39.11
SS18	155.79	165.10	190.16
ST5	194.78	240.92	202.40
ST13	1769.59	1115.44	899.01
ST14	42.92	38.92	48.99
STAC	113.24	122.07	98.37
BRDT	158.78	239.54	17.73
STAR	47.65	41.87	40.92
STAT1	326.54	223.39	487.92
STAT2	120.95	105.84	129.19
STAT3	400.15	187.66	466.55
STAT4	156.89	114.63	188.93
STAT5A	73.86	59.64	34.25
SCARNA2	59.94	48.08	47.33
SCARNA17	71.13	61.59	58.34
STAT5B	87.50	82.46	100.15
SNORA43	158.16	149.88	88.37
SNORA61	217.56	203.78	185.52
STAT6	227.15	220.48	285.35
STATH	17.68	22.22	19.77
ZFP36L1	214.42	129.01	402.60
STAU1	2549.50	2382.73	2060.10
STC1	40.38	48.24	33.46
HSPA13	486.16	561.72	892.12
SULT1E1	88.45	45.40	18.78
ELOVL4	65.03	25.26	59.95
STIM1	58.57	64.90	100.98
NEK4	250.59	158.12	319.79
STK3	37.68	24.73	36.01
STK4	140.28	181.98	151.19
ZFP36L2	139.78	122.34	143.64
AURKA	1335.16	1661.07	1791.06
CDKL5	26.02	34.33	44.74
STK10	91.39	57.86	83.96
STK11	179.91	208.60	144.82
AURKC	91.37	115.84	91.96
SULT1A2	247.09	247.35	179.78
STRN	43.79	48.13	85.34
STX1A	114.84	151.70	189.16
STX3	339.34	203.07	243.08
BRS3	23.39	27.22	23.18
STX4	296.63	236.80	365.92
STX5	235.99	246.44	192.83
STXBP1	467.36	448.67	548.03
STXBP2	130.64	135.40	223.45
